episode,total_reward,length,death_reason,death_reason_code,pattern_group,pattern_name,speed,time_step,epsilon
110,-1.4599992036819458,79,Collision with A (Jump obstacle) at lane 1 - Failed to jump,A_no_jump,easy,easy_center_A,1.0789999999999913,79,
111,-0.44999638199806213,79,Collision with B (Slide obstacle) at lane 0 - Failed to slide,B_no_slide,easy,easy_left_B,1.0789999999999913,79,
112,-7.350000381469727,28,Collision with A (Jump obstacle) at lane 2 - Failed to jump,A_no_jump,medium,medium_mixed_LR,1.027999999999997,28,
113,-6.960000514984131,32,Collision with C (Unavoidable) at lane 1,C_unavoidable,easy,easy_center_C,1.0319999999999965,32,
114,-7.020000457763672,31,Collision with C (Unavoidable) at lane 1,C_unavoidable,easy,easy_center_C,1.0309999999999966,31,
115,-0.22999897599220276,81,Collision with B (Slide obstacle) at lane 2 - Failed to slide,B_no_slide,easy,easy_right_B,1.080999999999991,81,
116,-7.330000400543213,28,Collision with C (Unavoidable) at lane 2,C_unavoidable,hard,hard_complex_6,1.027999999999997,28,
117,-7.1700005531311035,30,Collision with C (Unavoidable) at lane 1,C_unavoidable,easy,easy_center_C,1.0299999999999967,30,
118,-7.360000133514404,28,Collision with B (Slide obstacle) at lane 2 - Failed to slide,B_no_slide,easy,easy_right_B,1.027999999999997,28,
119,-7.330000400543213,28,Collision with A (Jump obstacle) at lane 2 - Failed to jump,A_no_jump,medium,medium_sides_A,1.027999999999997,28,
120,-7.210000514984131,29,Collision with A (Jump obstacle) at lane 1 - Failed to jump,A_no_jump,easy,easy_center_A,1.0289999999999968,29,
121,-7.090000152587891,30,Collision with C (Unavoidable) at lane 0,C_unavoidable,easy,easy_left_C,1.0299999999999967,30,
122,-7.060000419616699,31,Collision with A (Jump obstacle) at lane 1 - Failed to jump,A_no_jump,easy,easy_center_A,1.0309999999999966,31,
123,-5.8600006103515625,33,Collision with C (Unavoidable) at lane 1,C_unavoidable,easy,easy_center_C,1.0329999999999964,33,
124,-7.260000228881836,29,Collision with C (Unavoidable) at lane 0,C_unavoidable,easy,easy_left_C,1.0289999999999968,29,
125,3.9400134086608887,125,Collision with C (Unavoidable) at lane 1,C_unavoidable,easy,easy_center_C,1.1249999999999862,125,
126,6.960016250610352,125,Collision with C (Unavoidable) at lane 2,C_unavoidable,medium,medium_complex_2,1.1249999999999862,125,
127,5.0300164222717285,125,Collision with A (Jump obstacle) at lane 2 - Failed to jump,A_no_jump,easy,easy_right_A,1.1249999999999862,125,
128,3.900012493133545,125,Collision with A (Jump obstacle) at lane 2 - Failed to jump,A_no_jump,easy,easy_right_A,1.1249999999999862,125,
129,6.020018577575684,125,Collision with B (Slide obstacle) at lane 0 - Failed to slide,B_no_slide,medium,medium_complex_2,1.1249999999999862,125,
130,5.0600152015686035,126,Collision with B (Slide obstacle) at lane 1 - Failed to slide,B_no_slide,hard,hard_complex_7,1.1259999999999861,126,
131,-7.2900004386901855,28,Collision with C (Unavoidable) at lane 1,C_unavoidable,easy,easy_center_C,1.027999999999997,28,
132,-0.7399963140487671,76,Collision with A (Jump obstacle) at lane 2 - Failed to jump,A_no_jump,medium,medium_complex_6,1.0759999999999916,76,
133,-7.330000400543213,28,Collision with C (Unavoidable) at lane 0,C_unavoidable,easy,easy_left_C,1.027999999999997,28,
134,-7.310000419616699,28,Collision with A (Jump obstacle) at lane 1 - Failed to jump,A_no_jump,medium,medium_right_center,1.027999999999997,28,
135,-7.310000419616699,28,Collision with A (Jump obstacle) at lane 1 - Failed to jump,A_no_jump,hard,hard_all_A,1.027999999999997,28,
136,-7.340000152587891,28,Collision with A (Jump obstacle) at lane 1 - Failed to jump,A_no_jump,easy,easy_center_A,1.027999999999997,28,
137,-7.340000152587891,28,Collision with C (Unavoidable) at lane 0,C_unavoidable,medium,medium_complex_4,1.027999999999997,28,
138,-7.12000036239624,30,Collision with B (Slide obstacle) at lane 0 - Failed to slide,B_no_slide,easy,easy_left_B,1.0299999999999967,30,
139,-7.100000381469727,30,Collision with C (Unavoidable) at lane 1,C_unavoidable,medium,medium_complex_1,1.0299999999999967,30,
140,-7.289999961853027,28,Collision with C (Unavoidable) at lane 1,C_unavoidable,medium,medium_complex_6,1.027999999999997,28,
141,-7.1100006103515625,30,Collision with A (Jump obstacle) at lane 1 - Failed to jump,A_no_jump,easy,easy_center_A,1.0299999999999967,30,
142,-7.1700005531311035,30,Collision with A (Jump obstacle) at lane 1 - Failed to jump,A_no_jump,easy,easy_center_A,1.0299999999999967,30,
143,-1.6199990510940552,77,Collision with C (Unavoidable) at lane 1,C_unavoidable,medium,medium_complex_1,1.0769999999999915,77,
144,-6.940000534057617,32,Collision with C (Unavoidable) at lane 1,C_unavoidable,easy,easy_center_C,1.0319999999999965,32,
145,-1.6999982595443726,76,Collision with C (Unavoidable) at lane 2,C_unavoidable,easy,easy_right_C,1.0759999999999916,76,
146,-7.310000419616699,28,Collision with A (Jump obstacle) at lane 1 - Failed to jump,A_no_jump,easy,easy_center_A,1.027999999999997,28,
147,-1.6400004625320435,77,Collision with C (Unavoidable) at lane 2,C_unavoidable,medium,medium_complex_3,1.0769999999999915,77,
148,-7.330000400543213,28,Collision with C (Unavoidable) at lane 2,C_unavoidable,easy,easy_right_C,1.027999999999997,28,
149,-7.12000036239624,30,Collision with B (Slide obstacle) at lane 1 - Failed to slide,B_no_slide,medium,medium_complex_3,1.0299999999999967,30,
150,-7.320000171661377,28,Collision with A (Jump obstacle) at lane 1 - Failed to jump,A_no_jump,easy,easy_center_A,1.027999999999997,28,
151,-7.380000114440918,28,Collision with A (Jump obstacle) at lane 1 - Failed to jump,A_no_jump,easy,easy_center_A,1.027999999999997,28,
152,-7.360000133514404,28,Collision with A (Jump obstacle) at lane 1 - Failed to jump,A_no_jump,easy,easy_center_A,1.027999999999997,28,
153,-7.200000286102295,30,Collision with C (Unavoidable) at lane 1,C_unavoidable,easy,easy_center_C,1.0299999999999967,30,
154,-7.250000476837158,29,Collision with B (Slide obstacle) at lane 2 - Failed to slide,B_no_slide,hard,hard_complex_10,1.0289999999999968,29,
155,-7.350000381469727,28,Collision with C (Unavoidable) at lane 0,C_unavoidable,easy,easy_left_C,1.027999999999997,28,
156,-7.350000381469727,28,Collision with C (Unavoidable) at lane 1,C_unavoidable,easy,easy_center_C,1.027999999999997,28,
157,-7.28000020980835,28,Collision with A (Jump obstacle) at lane 2 - Failed to jump,A_no_jump,medium,medium_sides_A,1.027999999999997,28,
158,3.940016269683838,125,Collision with A (Jump obstacle) at lane 2 - Failed to jump,A_no_jump,medium,medium_complex_5,1.1249999999999862,125,
159,-7.030000686645508,31,Collision with C (Unavoidable) at lane 1,C_unavoidable,easy,easy_center_C,1.0309999999999966,31,
160,3.980010509490967,125,Collision with B (Slide obstacle) at lane 1 - Failed to slide,B_no_slide,medium,medium_complex_3,1.1249999999999862,125,
161,-1.4499999284744263,79,Collision with C (Unavoidable) at lane 0,C_unavoidable,easy,easy_left_C,1.0789999999999913,79,
162,-7.080000400543213,31,Collision with B (Slide obstacle) at lane 0 - Failed to slide,B_no_slide,easy,easy_left_B,1.0309999999999966,31,
163,-1.6700001955032349,77,Collision with B (Slide obstacle) at lane 0 - Failed to slide,B_no_slide,medium,medium_mixed_LR,1.0769999999999915,77,
164,-7.300000190734863,28,Collision with C (Unavoidable) at lane 0,C_unavoidable,easy,easy_left_C,1.027999999999997,28,
165,-7.320000171661377,28,Collision with C (Unavoidable) at lane 0,C_unavoidable,easy,easy_left_C,1.027999999999997,28,
166,-1.7100001573562622,76,Collision with C (Unavoidable) at lane 1,C_unavoidable,easy,easy_center_C,1.0759999999999916,76,
167,-7.350000381469727,28,Collision with C (Unavoidable) at lane 0,C_unavoidable,easy,easy_left_C,1.027999999999997,28,
168,-7.390000343322754,28,Collision with A (Jump obstacle) at lane 2 - Failed to jump,A_no_jump,medium,medium_complex_5,1.027999999999997,28,
169,-7.310000419616699,28,Collision with C (Unavoidable) at lane 0,C_unavoidable,medium,medium_complex_4,1.027999999999997,28,
